"Genus"	"species"	"guild_fg"
"Cortinarius"	"Cortinarius_rubellus"	"Ectomycorrhizal"
"Cortinarius"	"Cortinarius_splendens"	"Ectomycorrhizal"
"Dendrocollybia"	"Dendrocollybia_racemosa"	"Fungal Parasite"
"Entoloma"	"Entoloma_alpicola"	"Ectomycorrhizal"
"Entoloma"	"Entoloma_byssisedum"	"Wood Saprotroph"
"Entoloma"	"Entoloma_clypeatum"	"Ectomycorrhizal"
"Entoloma"	"Entoloma_cuspidiferum"	"Undefined Saprotroph"
"Entoloma"	"Entoloma_vernum"	"Undefined Saprotroph"
"Galerina"	"Galerina_marginata"	"Undefined Saprotroph"
"Inocybe"	"Inocybe_erubescens"	"Ectomycorrhizal"
"Kuehneromyces"	"Kuehneromyces_mutabilis"	"Undefined Saprotroph"
"Mycena"	"Mycena_pelianthina"	"Litter Saprotroph"
"Mycena"	"Mycena_rosea"	"Litter Saprotroph"
"Mycena"	"Mycena_sanguinolenta"	"Leaf Saprotroph"
"Panaeolus"	"Panaeolus_fimicola"	"Soil Saprotroph"
"Panaeolina"	"Panaeolus_foenisecii"	"Soil Saprotroph"
"Pluteus"	"Pluteus_nanus"	"Wood Saprotroph"
"Pluteus"	"Pluteus_romellii"	"Wood Saprotroph"
"Pseudoclitocybe"	"Pseudoclitocybe_cyathiformis"	"Litter Saprotroph"
"Stropharia"	"Rhodocollybia_mundula"	"Soil Saprotroph"
"Russula"	"Russula_virescens"	"Ectomycorrhizal"
"Tricholomopsis"	"Tricholoma_rutilans"	"Wood Saprotroph"
"Tubaria"	"Tubaria_furfuracea"	"Leaf Saprotroph-Wood Saprotroph"
"Scutellospora"	"Dentiscutata_heterogama"	"Arbuscular Mycorrhizal"
"Paraglomus"	"Paraglomus_occultum"	"Arbuscular Mycorrhizal"
"Daedaleopsis"	"Daedaleopsis_confragosa"	"Plant Pathogen"
"Geastrum"	"Geastrum_triplex"	"Leaf Saprotroph"
"Tricholomopsis"	"Tricholomopsis_rutilans"	"Wood Saprotroph"
"Rhizophlyctis"	"Rhizophlyctis_rosea"	"Undefined Saprotroph"
"Choanephora"	"Choanephora_cucurbitarum"	"Plant Pathogen"
"Gilbertella"	"Gilbertella_persicaria"	"Plant Pathogen"
"Rhizomucor"	"Mucor_pusillus"	"Animal Pathogen"
"Mycotypha"	"Mycotypha_microspora"	"Animal Pathogen"
"Phycomyces"	"Phycomyces_blakesleeanus"	"Dung Saprotroph-Undefined Saprotroph"
"Rhizopus"	"Rhizopus_arrhizus"	"Plant Pathogen"
"Rhizopus"	"Rhizopus_stolonifer"	"Endophyte-Plant Pathogen"
"Mortierella"	"Mortierella_verticillata"	"Undefined Saprotroph"
"Spiromyces"	"Spiromyces_aspiralis"	"Undefined Saprotroph"
"Basidiobolus"	"Basidiobolus_ranarum"	"Animal Pathogen-Undefined Saprotroph"
"Schizosaccharomyces"	"Schizosaccharomyces_pombe"	"Undefined Saprotroph"
"Aureobasidium"	"Aureobasidium_pullulans"	"Animal Pathogen-Endophyte-Epiphyte-Plant Pathogen"
"Cercospora"	"Cercospora_arachidicola"	"Plant Pathogen"
"Cladosporium"	"Cladosporium_sp."	"Endophyte-Plant Pathogen"
"Cladosporium"	"Cladosporium_sphaerospermum"	"Endophyte"
"Claviceps"	"Claviceps_sp."	"Plant Pathogen"
"Blumeria"	"Erysiphe_graminis"	"Plant Pathogen"
"Gibberella"	"Fusarium_roseum"	"Plant Pathogen"
"Mycosphaerella"	"Mycosphaerella_berkeleyi"	"Plant Pathogen"
"Terfezia"	"Terfezia_sp."	"Ectomycorrhizal"
"Puccinia"	"Puccinia_graminis"	"Plant Pathogen"
"Puccinia"	"Puccinia_striiformis"	"Plant Pathogen"
"Melampsora"	"Melampsora_lini"	"Plant Pathogen"
"Uromyces"	"Uromyces_phaseoli"	"Plant Pathogen"
"Ustilago"	"Ustilago_nuda"	"Plant Pathogen"
"Amanita"	"Amanita muscaria _"	"Ectomycorrhizal"
"Amanita"	"Amanita thiersii _"	"Undefined Saprotroph"
"Aspergillus"	"Aspergillus flavus _"	"Animal Pathogen-Plant Pathogen-Wood Saprotroph"
"Aspergillus"	"Aspergillus niger _"	"Plant Pathogen-Wood Saprotroph"
"Bipolaris"	"Bipolaris sorokiniana _"	"Plant Pathogen"
"Exophiala"	"Exophiala pisciphila _"	"Animal Pathogen-Undefined Saprotroph"
"Fomitiporia"	"Fomitiporia mediterranea _"	"Plant Pathogen-Undefined Saprotroph"
"Fomitopsis"	"Fomitopsis pinicola _"	"Plant Pathogen-Wood Saprotroph"
"Gaeumannomyces"	"Gaeumannomyces cylindrosporus _"	"Endophyte"
"Paecilomyces"	"Paecilomyces variotii _"	"Animal Pathogen"
"Paxillus"	"Paxillus involutus _"	"Ectomycorrhizal"
"Pithomyces"	"Pithomyces chartarum _"	"Animal Pathogen"
"Pleurotus"	"Pleurotus ostreatus _"	"Endophyte-Plant Pathogen-Wood Saprotroph"
"Pyrenochaeta"	"Pyrenochaeta cava _"	"Litter Saprotroph-Soil Saprotroph"
"Thanatephorus"	"Rhizoctonia solani _"	"Endophyte-Plant Pathogen"
"Stereum"	"Stereum hirsutum _"	"Wood Saprotroph"
"Ustilago"	"Ustilago maydis _"	"Plant Pathogen"
"Dacryopinax"	"Dacryopinax_sp"	"Undefined Saprotroph"
"Fomitiporia"	"Fomitiporia_mediterranea"	"Plant Pathogen-Undefined Saprotroph"
"Pyrenochaeta"	"Pyrenochaeta_cava"	"Litter Saprotroph-Soil Saprotroph"
"Stereum"	"Stereum_hirsutum"	"Wood Saprotroph"
"Ustilago"	"Ustilago_maydis"	"Plant Pathogen"
"Trichoderma"	"Hypocrea_koningii"	"Endophyte-Plant Pathogen"
"Hypocreales"	"Hypocreales"	"Undefined Saprotroph"
"Exophiala"	"Exophiala_sp"	"Animal Pathogen"
"Epicoccum"	"Epicoccum_nigrum"	"Endophyte-Plant Pathogen"
"Mucor"	"Mucor_racemosus"	"Endophyte-Plant Pathogen"
"Acarospora"	"\"Mycosphaerella_pneumatophorae\""	"Lichenized"
"Acarospora"	"Acarospora_laqueata"	"Lichenized"
"Acarospora"	"Acarospora_schleicheri"	"Lichenized"
"Acarosporina"	"Acarosporina_microspora"	"Undefined Saprotroph"
"Agonimia"	"Agonimia_sp."	"Lichenized"
"Aleuria"	"Aleuria_aurantia"	"Undefined Saprotroph"
"Apiognomonia"	"Apiognomonia_errabunda"	"Endophyte-Plant Pathogen"
"Arthrinium"	"Apiospora_montagnei"	"Dung Saprotroph-Plant Pathogen"
"Bacidia"	"Arthonia_caesia"	"Lichenized"
